"row_id","day","month","year","start_time","end_time","minutes","person_minutes","crew","crew_size","plot","road_initials","point_num","area","treatment_type_short","treatment_type_long","treatment_year","weather","lat","long","tree_id","species","dbh_sapling","total_height_sapling","count_seedling","insect_disease_presence","browsing_damage","total_count","notes"
1,24,6,2022,1027,1046,19,57,"KV, ES, TM",3,"FM_MB_129","MB",129,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny, pleasant",37.34503,105.3029,NA,"ABCO",NA,NA,3,"1","1",3,"also mechanical damage"
2,24,6,2022,1122,1145,23,69,"KV, ES, TM",3,"FM_MB_127","MB",127,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny, pleasant",37.34368,105.300606,NA,"ABCO",NA,NA,3,"0","0",3,"also mechanical damage"
3,24,6,2022,1300,1317,17,51,"KV, ES, TM",3,"FM_MB_128","MB",128,"Baldies","shelterwood","shelterwood/thin from below",2021,"cloudy",37.345681,105.300777,NA,"PIPO",NA,NA,1,"0","0",1,"70% dieback"
4,24,6,2022,938,1005,27,81,"KV, ES, TM",3,"FM_MB_130","MB",130,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny",37.34659,105.305783,NA,"POTR",NA,NA,6,"0","0",6,""
5,24,6,2022,1340,1407,27,81,"KV, ES, TM",3,"FM_LS_125","LS",125,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.346318,105.296774,NA,"ABCO",NA,NA,8,"0","0",8,"70% dieback (1), lopped off sapling(5)"
6,24,6,2022,1340,1407,27,81,"KV, ES, TM",3,"FM_LS_125","LS",125,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.346318,105.296774,NA,"PSME",NA,NA,4,"0","1",4,"lopped off"
7,24,6,2022,1418,1433,15,45,"KV, ES, TM",3,"FM_LS_126","LS",126,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.343498,105.296488,NA,"PSME",NA,NA,2,"0","0",2,""
8,24,6,2022,1418,1433,15,45,"KV, ES, TM",3,"FM_LS_126","LS",126,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.343498,105.296488,NA,"ABCO",NA,NA,2,"0","1",2,"lopped off "
9,23,6,2022,918,926,8,24,"KV, ES, TM",3,"FM_MWCF_80","MWCF",80,"2018 Burn","shelterwood","shelterwood, thin from below, remove mistletoe",2016,"cold,overcast,windy",37.495566,107.273293,NA,"none",NA,NA,0,NA,NA,0,""
10,23,6,2022,1008,1035,27,81,"KV, ES, TM",3,"FM_MWCF_81","MWCF",81,"2018 Burn","thin from below","thin from below, remove all defigured ABCO with 14"" DBH and larger if sufficent seed trees in area",2016,"cold,overcast,windy",37.491334,105.276513,NA,"none",NA,NA,0,NA,NA,0,""
11,23,6,2022,1055,1107,12,36,"KV, ES, TM",3,"FM_MWCF_82","MWCF",82,"2018 Burn","thin from below","thin from below, remove all defigured ABCO with 14"" DBH and larger if sufficent seed trees in area",2016,"cold,overcast,windy",37.488077,105.273255,NA,"none",NA,NA,0,NA,NA,0,""
12,23,6,2022,1304,1334,30,90,"KV, ES, TM",3,"FM_CS_79","CS",79,"2018 Burn","unknown","unknown",2016,"cold,overcast,windy",37.494143,105.267137,NA,"POTR",NA,NA,70,"1","0",70,"caterpillars"
13,23,6,2022,1411,1420,9,27,"KV, ES, TM",3,"FM_EBC_75","EBC",75,"2018 Burn","shelterwood","shelterwood/thin from below",2016,"partly cloudy, windy",37.498123,105.273255,NA,"POTR",NA,NA,44,"1","0",44,""
14,22,6,2022,1128,1150,22,66,"KV, ES, TM",3,"FM_CS_77","CS",77,"2018 Burn","unknown","unknown",2016,"cold,overcast,windy",37.493067,105.259962,NA,"POTR",NA,NA,1,"0","1",1,""
15,22,6,2022,1235,1243,8,24,"KV, ES, TM",3,"FM_CS_76","CS",76,"2018 Burn","unknown","unknown",2016,"cold,overcast,windy",37.495413,105.262435,NA,"none",NA,NA,0,NA,NA,0,""
16,22,6,2022,1303,1349,46,138,"KV, ES, TM",3,"FM_CS_74","CS",74,"2018 Burn","shelterwood","shelterwood/mastecation",2017,"cloudy",37.497768,105.26132,NA,"POTR",NA,NA,1,"0","0",1,"10% dieback "
17,22,6,2022,1452,1510,18,54,"KV, ES, TM",3,"FM_CSL_73","CSL",73,"2018 Burn","shelterwood","shelterwood/mastecation",2017,"cold,overcast,windy",37.499954,105.266026,NA,"POTR",NA,NA,5,"0","0",5,"30-50% dieback"
18,21,6,2022,1439,1459,20,60,"KV, ES, TM",3,"FM_CS_78","CS",78,"2018 Burn","unknown","unknown",2016,"cold,overcast,windy",37.491918,105.26331,NA,"PIPO",NA,NA,1,"0","0",1,""
19,21,6,2022,1130,1152,22,66,"KV, ES, TM",3,"FM_BATCH_62","BATCH",62,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO",2019,"overcast,windy",37.523861,105.405154,NA,"PIPO",NA,NA,3,"0","0",3,"mistletoe present"
20,21,6,2022,928,1044,76,228,"KV, ES, TM",3,"FM_BATCH_64","BATCH",64,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"overcast,windy",37.524276,105.40859,NA,"POTR",NA,NA,51,"0","1",51,""
21,21,6,2022,928,1044,76,228,"KV, ES, TM",3,"FM_BATCH_64","BATCH",64,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"overcast,windy",37.524276,105.40859,NA,"ABCO",NA,NA,13,"0","0",13,""
22,21,6,2022,928,1044,76,228,"KV, ES, TM",3,"FM_BATCH_64","BATCH",64,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"overcast,windy",37.524276,105.40859,NA,"PSME",NA,NA,21,"0","0",21,""
23,21,6,2022,928,1044,76,228,"KV, ES, TM",3,"FM_BATCH_64","BATCH",64,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"overcast,windy",37.524276,105.40859,NA,"PIPO",NA,NA,3,"0","0",3,""
24,17,6,2022,1319,1349,30,90,"SA, GT, TM",3,"FM_BATCH_59","BATCH",59,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"cloudy",37.524323,105.402533,NA,"none",NA,NA,0,NA,NA,0,""
25,17,6,2022,1111,1130,19,57,"SA, GT, TM",3,"FM_BA_55","BA",55,"Lakehouse","thin from below","thin from below",2019,"sunny,warm",37.522019,105.398739,NA,"none",NA,NA,0,NA,NA,0,""
26,17,6,2022,1040,1059,19,57,"SA, GT, TM",3,"FM_BA_58","BA",58,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"sunny,clear",37.521274,105.401659,NA,"JUSC",NA,NA,1,"1","1",1,"15% dieback"
27,17,6,2022,1010,1028,18,54,"SA, GT, TM",3,"FM_BA_63","BA",63,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.521181,105.40527,NA,"JUSC",NA,NA,4,"1","0",4,"20% dieback"
28,17,6,2022,930,945,15,45,"SA, GT, TM",3,"FM_BA_56","BA",56,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"sunny",37.518538,105.398356,NA,"none",NA,NA,0,NA,NA,0,""
29,17,6,2022,825,837,12,36,"SA, GT, TM",3,"FM_LLS_48","LLS",48,"Lakehouse","unknown","unknown",2019,"sunny,clear",37.514262,105.409515,NA,"JUSC",NA,NA,3,"0","0",3,""
30,16,6,2022,1511,1519,8,24,"SA, GT, TM",3,"FM_MW_50","MW",50,"Lakehouse","unknown","unknown",2019,"sunny",37.515002,105.397287,NA,"none",NA,NA,0,NA,NA,0,""
31,16,6,2022,1417,1440,23,69,"SA, GT, TM",3,"FM_MW_57","MW",57,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"sunny,clear",37.517129,105.394611,NA,"JUSC",NA,NA,1,"1","1",1,""
32,16,6,2022,943,953,10,30,"SA, GT, TM",3,"FM_BA_71","BA",71,"Lakehouse","thin from below","shelterwood/thin from below",2019,"sunny,clear",37.524323,105.412493,NA,"none",NA,NA,0,NA,NA,0,""
33,16,6,2022,840,914,34,102,"SA, GT, TM",3,"FM_BATCH_69","BATCH",69,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527187,105.415929,NA,"PSME",NA,NA,2,"1","0",2,""
34,16,6,2022,840,914,34,102,"SA, GT, TM",3,"FM_BATCH_69","BATCH",69,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527187,105.415929,NA,"PICO",NA,NA,1,"1","0",1,"sprouting on cut stump "
35,16,6,2022,840,914,34,102,"SA, GT, TM",3,"FM_BATCH_69","BATCH",69,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527187,105.415929,NA,"PIEN",NA,NA,1,"1","0",1,""
36,16,6,2022,840,914,34,102,"SA, GT, TM",3,"FM_BATCH_69","BATCH",69,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527187,105.415929,NA,"JUSC",NA,NA,1,"1","0",1,""
37,16,6,2022,840,914,34,102,"SA, GT, TM",3,"FM_BATCH_69","BATCH",69,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527187,105.415929,NA,"ABCO",NA,NA,1,"1","0",1,""
38,16,6,2022,820,832,12,36,"SA, GT, TM",3,"FM_BATCH_70","BATCH",70,"Lakehouse","thin from below","shelterwood/thin from below",2019,"sunny",37.526806,105.412569,NA,"none",NA,NA,0,NA,NA,0,""
39,15,6,2022,1602,1616,14,42,"SA, GT, TM",3,"FM_CH_51","CH",51,"Lakehouse","thin from below","thin from below",2019,"sunny,windy",37.522947,105.393085,NA,"PIPO",NA,NA,6,"0","0",6,""
40,15,6,2022,1526,1535,9,27,"SA, GT, TM",3,"FM_CH_54","CH",54,"Lakehouse","unknown","unknown",2019,"clear",37.524803,105.397682,NA,"none",NA,NA,0,NA,NA,0,""
41,15,6,2022,1426,1502,36,108,"SA, GT, TM",3,"FM_CH_52","CH",52,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.524505,105.394874,NA,"none",NA,NA,0,NA,NA,0,""
42,15,6,2022,1355,1408,13,39,"SA, GT, TM",3,"FM_CH_53","CH",53,"Lakehouse","thin from below","thin from below",2019,"sunny,windy",37.526855,105.398286,NA,"none",NA,NA,0,NA,NA,0,""
43,15,6,2022,1300,1341,41,123,"SA, GT, TM",3,"FM_CH_60","CH",60,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527325,105.401309,1,"PIPO",8.6,3.3,NA,"1","0",1,""
44,15,6,2022,1300,1341,41,123,"SA, GT, TM",3,"FM_CH_60","CH",60,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527325,105.401309,2,"PIEN",4,1.7,NA,"1","0",1,""
45,15,6,2022,1300,1341,41,123,"SA, GT, TM",3,"FM_CH_60","CH",60,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527325,105.401309,3,"PIEN",3,1.7,NA,"1","0",1,""
46,15,6,2022,1300,1341,41,123,"SA, GT, TM",3,"FM_CH_60","CH",60,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.527325,105.401309,NA,"PIEN",NA,NA,1,"1","0",1,""
47,15,6,2022,1030,1048,18,54,"SA, GT, TM",3,"FM_CH_65","CH",65,"Lakehouse","thin from below","thin from below",2019,"sunny,windy",37.527418,105.409056,NA,"none",NA,NA,0,NA,NA,0,""
48,15,6,2022,1101,1134,33,99,"SA, GT, TM",3,"FM_CH_61","CH",61,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.52714,105.405445,NA,"ABCO",NA,NA,1,"1","0",1,"disease"
49,15,6,2022,1101,1134,33,99,"SA, GT, TM",3,"FM_CH_61","CH",61,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.52714,105.405445,1,"PSME",6.6,3,NA,"1","0",1,"budworm"
50,15,6,2022,1101,1134,33,99,"SA, GT, TM",3,"FM_CH_61","CH",61,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.52714,105.405445,NA,"PSME",NA,NA,1,"0","0",1,""
51,15,6,2022,1101,1134,33,99,"SA, GT, TM",3,"FM_CH_61","CH",61,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.52714,105.405445,2,"PSME",3,1.9,NA,"0","0",1,""
52,15,6,2022,947,1010,63,189,"SA, GT, TM",3,"FM_CH_67","CH",67,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.530004,105.412726,NA,"POTR",NA,NA,11,"0","0",11,""
53,15,6,2022,900,914,14,42,"SA, GT, TM",3,"FM_CH_66","CH",66,"Lakehouse","thin from below","thin from below,retain healthy PIPO and PSME. remove all ABCO & mistletoe",2019,"clear",37.529878,105.408378,NA,"none",NA,NA,0,NA,NA,0,"center point movd off road at least 53 ft. "
54,14,6,2022,919,955,36,108,"SA, GT, TM",3,"FM_BH_25","BH",25,"Lakehouse","shelterwood","shelterwood",2019,"clear,windy",37.535865,105.394508,NA,"PSME",NA,NA,1,"0","0",1,""
55,14,6,2022,919,955,36,108,"SA, GT, TM",3,"FM_BH_25","BH",25,"Lakehouse","shelterwood","shelterwood",2019,"clear,windy",37.535865,105.394508,NA,"ABCO",NA,NA,1,"0","0",1,""
56,14,6,2022,919,955,36,108,"SA, GT, TM",3,"FM_BH_25","BH",25,"Lakehouse","shelterwood","shelterwood",2019,"clear,windy",37.535865,105.394508,NA,"POTR",NA,NA,32,"0","0",32,""
57,14,6,2022,919,955,36,108,"SA, GT, TM",3,"FM_BH_25","BH",25,"Lakehouse","shelterwood","shelterwood",2019,"clear,windy",37.535865,105.394508,1,"PSME",2.4,2,NA,"0","1",1,"50% of tree is dead. girdled. "
58,14,6,2022,1022,1051,29,87,"SA, GT, TM",3,"FM_BH_29","BH",29,"Lakehouse","shelterwood","2010: heavy blowndown. drainage with dead topped PSME and ABCO",2019,"clear",37.533699,105.395897,NA,"POTR",NA,NA,14,"0","0",14,""
59,14,6,2022,1022,1051,29,87,"SA, GT, TM",3,"FM_BH_29","BH",29,"Lakehouse","shelterwood","2010: heavy blowndown. drainage with dead topped PSME and ABCO",2019,"clear",37.533699,105.395897,NA,"ABCO",NA,NA,3,"1","0",3,""
60,14,6,2022,1022,1051,29,87,"SA, GT, TM",3,"FM_BH_29","BH",29,"Lakehouse","shelterwood","2010: heavy blowndown. drainage with dead topped PSME and ABCO",2019,"clear",37.533699,105.395897,1,"ABCO",6.2,4.6,NA,"1","0",1,"mechanical damage"
61,14,6,2022,1022,1051,29,87,"SA, GT, TM",3,"FM_BH_29","BH",29,"Lakehouse","shelterwood","2010: heavy blowndown. drainage with dead topped PSME and ABCO",2019,"clear",37.533699,105.395897,2,"ABCO",3,3.9,NA,"1","0",1,""
62,14,6,2022,1105,1130,25,75,"SA, GT, TM",3,"FM_BH_34","BH",34,"Lakehouse","shelterwood","shelterwood/thin from below",2019,"clear,windy",37.531893,105.396868,NA,"PSME",NA,NA,2,"1","0",2,""
63,14,6,2022,1254,1339,85,255,"SA, GT, TM",3,"FM_PL_46","PL",46,"Lakehouse","salvage","remove almost all conifer from riparian areas and retain PODE and POTR. in the cleanup portion remove ABCO, PIPU, and PIPO with mistletoe",2015,"clear",37.533229,105.403367,NA,"PSME",NA,NA,1,"0","0",1,""
64,14,6,2022,1400,1416,16,48,"SA, GT, TM",3,"FM_PL_47","PL",47,"Lakehouse","selective thinning","remove almost all conifer from riparian areas and retain PODE and POTR. in the cleanup portion remove ABCO, PIPU, and PIPO with mistletoe",2015,"clear,windy",37.531461,105.399494,NA,"none",NA,NA,0,NA,NA,0,""
65,14,6,2022,1500,1515,15,45,"SA, GT, TM",3,"FM_CH_68","CH",68,"Lakehouse","thin from below","thin from below",2019,"clear,windy",37.529866,105.415871,NA,"none",NA,NA,0,NA,NA,0,""
66,13,6,2022,911,930,19,76,"SA, HA, GT, TM",4,"FM_BH_38","BH",38,"Lakehouse","salvage","salvage",2010,"clear,windy",37.544715,105.408756,NA,"POTE",NA,NA,36,"0","1",36,""
67,13,6,2022,911,930,19,76,"SA, HA, GT, TM",4,"FM_BH_38","BH",38,"Lakehouse","salvage","salvage",2010,"clear,windy",37.544715,105.408756,NA,"ABCO",NA,NA,7,"1","0",7,"budworm"
